"Mode","Illuminant","Lightness","emmean","SE","df","lower.CL","upper.CL"
"VR","r","L40",0.531130079996018,0.0160623669205228,34,0.498487423015139,0.563772736976897
"Flat","r","L40",0.479784571698734,0.0186397553321331,34,0.44190403126998,0.517665112127487
"VR","g","L40",0.661196291162854,0.018782404771736,34,0.62302585219371,0.699366730131997
"Flat","g","L40",0.596787879864375,0.0210666412733195,34,0.553975313806905,0.639600445921844
"VR","b","L40",0.566231334812584,0.0300911235096252,34,0.505078814280947,0.627383855344222
"Flat","b","L40",0.520095420380434,0.0239979385665514,34,0.471325741493616,0.568865099267251
"VR","y","L40",0.580866797765096,0.0184532318524075,34,0.543365318653874,0.618368276876318
"Flat","y","L40",0.553785209818965,0.0223996382843855,34,0.508263667904819,0.59930675173311
"VR","r","L55",0.474648950071562,0.0197835093636729,34,0.434444021792202,0.514853878350922
"Flat","r","L55",0.483405672794297,0.0157547243667778,34,0.451388220704098,0.515423124884495
"VR","g","L55",0.65480208992958,0.0193349075349316,34,0.61550883025355,0.694095349605611
"Flat","g","L55",0.616318474213282,0.0206193154003965,34,0.574414983704936,0.658221964721628
"VR","b","L55",0.545884996652603,0.031654820592508,34,0.481554661310042,0.610215331995165
"Flat","b","L55",0.529599539296968,0.0289500542800826,34,0.47076595044182,0.588433128152115
"VR","y","L55",0.619658874755814,0.0202268580089836,34,0.578552953626308,0.66076479588532
"Flat","y","L55",0.507301796866315,0.0231480882601951,34,0.460259221598331,0.554344372134298
"VR","r","L70",0.480789972203119,0.0171083038286748,34,0.446021715683555,0.515558228722682
"Flat","r","L70",0.460907229355403,0.0163459326286878,34,0.427688297521075,0.494126161189731
"VR","g","L70",0.607821569414366,0.0196786794161552,34,0.567829681220261,0.647813457608471
"Flat","g","L70",0.581292671816689,0.0233601618185028,34,0.533819111224264,0.628766232409115
"VR","b","L70",0.518167320603416,0.0225472678205803,34,0.472345759374925,0.563988881831906
"Flat","b","L70",0.513834063353993,0.022583404762332,34,0.467939063024044,0.559729063683941
"VR","y","L70",0.589887618450891,0.0183589942848918,34,0.552577653118824,0.627197583782958
"Flat","y","L70",0.475192321730512,0.0303098438164837,34,0.413595308056185,0.536789335404838
