"Mode","Lightness","Illuminant","emmean","SE","df","lower.CL","upper.CL"
"VR","L40","r",0.586752592518519,0.0209048476924245,34,0.544268830577466,0.629236354459571
"Flat","L40","r",0.408058285666667,0.0253957037191707,34,0.356448006223122,0.459668565110211
"VR","L55","r",0.428666380074074,0.0321978893691934,34,0.363232396191911,0.494100363956236
"Flat","L55","r",0.439151013027778,0.0245600098612881,34,0.389239067838386,0.48906295821717
"VR","L70","r",0.481716472814815,0.0215636023266197,34,0.437893960385431,0.525538985244198
"Flat","L70","r",0.40932098312037,0.0300657118531791,34,0.348220105288018,0.470421860952722
"VR","L40","g",0.580111224657407,0.0272469929750414,34,0.524738672788461,0.635483776526353
"Flat","L40","g",0.693291689398148,0.0289586898367659,34,0.634440550980346,0.75214282781595
"VR","L55","g",0.720326516351852,0.0351736936451007,34,0.648844970569172,0.791808062134531
"Flat","L55","g",0.677848680768519,0.0360734240115296,34,0.604538662888798,0.75115869864824
"VR","L70","g",0.584083103407407,0.0332332152758556,34,0.516545084136076,0.651621122678739
"Flat","L70","g",0.641281622157407,0.038998951480808,34,0.562026217141387,0.720537027173428
"VR","L40","b",0.589827995203704,0.0495610371064885,34,0.489107849667951,0.690548140739457
"Flat","L40","b",0.450876180712963,0.0407589079666647,34,0.368044113791922,0.533708247634003
"VR","L55","b",0.454285911101852,0.0484735594516451,34,0.35577578605916,0.552796036144544
"Flat","L55","b",0.483723463490741,0.0481716519675609,34,0.385826888274901,0.58162003870658
"VR","L70","b",0.4083489345,0.0398110885717389,34,0.327443068340122,0.489254800659878
"Flat","L70","b",0.425676752444444,0.0481509973642842,34,0.327822152432706,0.523531352456183
"VR","L40","y",0.583350814833333,0.0390783765848229,34,0.503933998585777,0.66276763108089
"Flat","L40","y",0.599373821111111,0.0345888136019122,34,0.529080894584811,0.669666747637411
"VR","L55","y",0.701251370231481,0.0422922004634915,34,0.615303278052586,0.787199462410376
"Flat","L55","y",0.535863923453704,0.0376136544979542,34,0.459423780624863,0.612304066282545
"VR","L70","y",0.719493049518518,0.0360477072296084,34,0.646235294427654,0.792750804609383
"Flat","L70","y",0.54051938637963,0.045843617192375,34,0.447353947053162,0.633684825706097
